2025-03-03 20:46:31.776 | INFO | Game Logger initialized for session: session_20250303_204631_28056
2025-03-03 20:46:32.103 | WARNING | [STATE_player_initialized] {"position": {"x": 400, "y": 300}, "health": 100, "max_health": 100, "speed": 5, "damage": 10, "wetness": 0, "fire_resistance": 0, "obsidian_armor": 0, "current_area": "BEACH", "session_id": 2179319101664, "memory_size": 48}
2025-03-03 20:46:32.106 | DEBUG | Created game state snapshot: logs\sessions\session_20250303_204631_28056\snapshots\snapshot_20250303_204632.json
2025-03-03 20:46:32.106 | INFO | [player] {"health": 100, "max_health": 100, "position": {"x": 400, "y": 300}, "wetness": 0, "fire_resistance": 0, "has_obsidian_armor": false, "obsidian_armor_level": 0, "current_area": "BEACH", "damage_dealt": 0, "damage_taken": 0}
2025-03-03 20:46:32.114 | INFO | [tutorial_initialized] {"total_steps": 11}
2025-03-03 20:46:32.114 | INFO | [DEV_portal_created] {"source_area": "BEACH", "target_area": "VOLCANO", "position": {"x": 700, "y": 300}}
2025-03-03 20:46:32.114 | WARNING | [area_transition] {"player_id": 2179319101664, "old_area": "BEACH", "new_area": "BEACH", "player_health": 100, "wetness": 0, "has_obsidian_armor": false}
2025-03-03 20:46:32.114 | DEBUG | [splash_message] {"message": "Entered BEACH", "duration": 3.0}
2025-03-03 20:46:32.115 | WARNING | [game_initialized] {"screen_size": [800, 600], "starting_area": "BEACH", "fps": 60, "tutorial_enabled": true}
2025-03-03 20:46:32.115 | WARNING | [PERF_game_loop_start] {"timestamp": 1741063592.1157615, "memory_usage": 48, "active_sprites": 2, "active_enemies": 0, "active_portals": 1, "tutorial_active": false, "current_area": "BEACH"}
2025-03-03 20:46:32.117 | INFO | [STATE_input] {"frame": 1, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 12, "quit_requested": false, "processing_time_ms": 1.5025138854980469}
2025-03-03 20:46:32.117 | INFO | [enemy_spawn] {"type": "water_splasher", "id": 2179319098304, "health": 20, "damage": 1, "position": {"x": 550, "y": 300}, "area": "BEACH"}
2025-03-03 20:46:32.118 | INFO | [enemy_spawn] {"type": "lava_splasher", "id": 2179319098208, "health": 100, "damage": 1000, "position": {"x": 900, "y": 300}, "area": "VOLCANO"}
2025-03-03 20:46:32.118 | INFO | [DEV_portal_created] {"source_area": "BEACH", "target_area": "VOLCANO", "position": {"x": 700, "y": 300}}
2025-03-03 20:46:32.118 | WARNING | [tutorial_environment_setup] {"water_enemy_position": [550, 300], "lava_enemy_position": [900, 300], "player_position": [400, 300]}
2025-03-03 20:46:32.118 | INFO | [tutorial_started] {"current_step": 0, "message": "Welcome to the Elemental Progression Game!\nPress SPACE to continue."}
2025-03-03 20:46:32.132 | INFO | [STATE_input] {"frame": 2, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 3.537416458129883}
2025-03-03 20:46:32.149 | INFO | [STATE_input] {"frame": 3, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 2.0618438720703125}
2025-03-03 20:46:32.165 | INFO | [STATE_input] {"frame": 4, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.0061264038085938}
2025-03-03 20:46:32.182 | INFO | [STATE_input] {"frame": 5, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.5876293182373047}
2025-03-03 20:46:32.199 | INFO | [STATE_input] {"frame": 6, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 2.0279884338378906}
2025-03-03 20:46:32.217 | INFO | [STATE_input] {"frame": 7, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.5034675598144531}
2025-03-03 20:46:32.233 | INFO | [STATE_input] {"frame": 8, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.2271404266357422}
2025-03-03 20:46:32.250 | INFO | [STATE_input] {"frame": 9, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.0139942169189453}
2025-03-03 20:46:32.266 | INFO | [STATE_input] {"frame": 10, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.5118122100830078}
2025-03-03 20:46:32.282 | INFO | [STATE_input] {"frame": 11, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.0831356048583984}
2025-03-03 20:46:32.299 | INFO | [STATE_input] {"frame": 12, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.4758110046386719}
2025-03-03 20:46:32.315 | INFO | [STATE_input] {"frame": 13, "input_state": {"up": false, "down": false, "left": false, "right": false, "space": false, "mouse_buttons": [false, false, false], "mouse_pos": [0, 0]}, "events_count": 0, "quit_requested": false, "processing_time_ms": 1.0035037994384766}
2025-03-03 20:46:32.316 | DEBUG | [PERF_update_start] Bulk log: 13 entries from 1741063592.117264 to 1741063592.3166862
2025-03-03 20:46:32.316 | DEBUG | [PERF_update_start] First: {"frame": 1, "time": 1741063592.117264, "player_pos": [400, 300], "enemy_count": 0}
2025-03-03 20:46:32.316 | DEBUG | [PERF_update_start] Last: {"frame": 13, "time": 1741063592.3166862, "player_pos": [400, 300], "enemy_count": 2}
2025-03-03 20:46:32.316 | DEBUG | [DEV_water_splasher_created] {"x": 550, "y": 300, "health": 20, "damage": 1, "splash_effect": 10}
2025-03-03 20:46:32.317 | DEBUG | [DEV_lava_sprite_created] {"x": 900, "y": 300, "health": 100, "damage": 1000}
2025-03-03 20:46:32.317 | DEBUG | [PERF_update_complete] Bulk log: 12 entries from 1741063592.1182826 to 1741063592.300839
2025-03-03 20:46:32.317 | DEBUG | [PERF_update_complete] First: {"frame": 1, "duration_ms": 1.018524169921875, "player_pos_after": [400, 300], "enemy_count_after": 2}
2025-03-03 20:46:32.317 | DEBUG | [PERF_update_complete] Last: {"frame": 12, "duration_ms": 0.0, "player_pos_after": [400, 300], "enemy_count_after": 2}
2025-03-03 20:46:32.317 | DEBUG | [DEV_enemy_ai_decision] Bulk log: 2 entries from 1741063592.13259 to 1741063592.13259
2025-03-03 20:46:32.317 | DEBUG | [DEV_enemy_ai_decision] First: {"enemy_id": 2179319098304, "enemy_type": "water_splasher", "decision": "move_toward_player", "old_direction": 5.344315263426107, "new_direction": 3.141592653589793, "distance_to_player": 150.0, "player_position": {"x": 400, "y": 300}}
2025-03-03 20:46:32.317 | DEBUG | [DEV_enemy_ai_decision] Last: {"enemy_id": 2179319098208, "enemy_type": "lava_splasher", "decision": "move_toward_player", "old_direction": 1.0218290255158908, "new_direction": 3.141592653589793, "distance_to_player": 500.0, "player_position": {"x": 400, "y": 300}}
2025-03-03 20:46:32.317 | DEBUG | [DEV_enemy_movement] Bulk log: 22 entries from 1741063592.13259 to 1741063592.300839
2025-03-03 20:46:32.317 | DEBUG | [DEV_enemy_movement] First: {"enemy_id": 2179319098304, "enemy_type": "water_splasher", "old_position": {"x": 550, "y": 300}, "new_position": {"x": 549, "y": 300}, "delta": {"dx": -1.0, "dy": 1.2246467991473532e-16}, "speed": 1.0, "direction": 3.141592653589793, "direction_changed": true, "moving_toward_player": true}
2025-03-03 20:46:32.317 | DEBUG | [DEV_enemy_movement] Last: {"enemy_id": 2179319098208, "enemy_type": "lava_splasher", "old_position": {"x": 756, "y": 300}, "new_position": {"x": 755, "y": 300}, "delta": {"dx": -0.8, "dy": 9.797174393178826e-17}, "speed": 0.8, "direction": 3.141592653589793, "direction_changed": false, "moving_toward_player": true}
2025-03-03 20:46:32.317 | DEBUG | [DEV_enemy_boundary_correction] {"enemy_id": 2179319098208, "enemy_type": "lava_splasher", "attempted_position": {"x": 899, "y": 300}, "corrected_position": {"x": 765, "y": 300}}
